track_id,app_name,seller_name,bundle_id,app_store_url,release_date,current_version_release_date,app_version,months_since_update,launched_last_12_months,stale_6mo,user_rating_count,user_rating_count_current_version,average_user_rating,primary_genre,genres,app_store_category,content_advisory_rating,minimum_ios_version,gambling_specific,matched_search_terms
6478956067,Quit Gambling: Bet Breaker,Moxyz Studio,com.moxyzstudio.betbreaker,https://apps.apple.com/us/app/quit-gambling-bet-breaker/id6478956067?uo=4,2024-04-04,2026-09-02,2.5.0,0.6,N,N,397,397,4.85139,Utilities,Utilities; Lifestyle,harm-reduction,17+,16.0,Y,quit gambling; gambling blocker; gambling addiction recovery
1112385176,Gambling Addiction Calendar,"App Diggity, LLC",com.GamblingAddiction.Calendar,https://apps.apple.com/us/app/gambling-addiction-calendar/id1112385176?uo=4,2016-05-18,2023-03-09,5.2,42.4,N,Y,130,130,4.83846,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,12+,11.0,Y,quit gambling; gambling blocker; gambling addiction recovery
1445348921,Days Since: Quit Habit Tracker,A Couple of Friends OOD,npetrova.DaysSince,https://apps.apple.com/us/app/days-since-quit-habit-tracker/id1445348921?uo=4,2019-08-17,2026-09-14,4.1.1,0.2,N,N,19180,19180,4.8207,Health & Fitness,Health & Fitness; Productivity,not-gambling,12+,15.0,N,quit gambling; gambling addiction recovery
6759234389,Quit Gambling: by Cashed Out,"Koby Empire, Inc",com.kobyconradsunflower.cashedout,https://apps.apple.com/us/app/quit-gambling-by-cashed-out/id6759234389?uo=4,2026-02-18,2026-09-08,1.2.15,0.4,Y,N,77,77,4.74026,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,16.0,Y,quit gambling; gambling addiction recovery
672904239,I Am Sober,I Am Sober LLC,com.thehungrywasp.iamsober,https://apps.apple.com/us/app/i-am-sober/id672904239?uo=4,2013-07-19,2026-09-14,8.7.9,0.2,N,N,187177,187177,4.88034,Lifestyle,Lifestyle; Health & Fitness,not-gambling,17+,15.1,N,quit gambling; gambling blocker; gambling addiction recovery
6745189995,QuitBet - Quit Gambling,Boulevard Legacy LLC,com.boulevardlegacy.quitbet,https://apps.apple.com/us/app/quitbet-quit-gambling/id6745189995?uo=4,2025-05-04,2025-07-18,1.1.30,14.1,N,Y,61,61,4.63934,Productivity,Productivity,harm-reduction,17+,15.1,Y,quit gambling; gambling addiction recovery
6670754333,AI Chat 4.6 - Assistant Bot,Mariya Vonchak,ai.max.assistant.AIMaxAssistant,https://apps.apple.com/us/app/ai-chat-4-6-assistant-bot/id6670754333?uo=4,2024-09-25,2026-08-12,4.5,1.3,N,N,254,254,4.66141,Productivity,Productivity; Reference,not-gambling,4+,15.0,N,quit gambling
6752539103,BRAKKE: Quit Gambling,Dainius Masevicius,app.brakke,https://apps.apple.com/us/app/brakke-quit-gambling/id6752539103?uo=4,2025-09-23,2025-11-23,1.4.0,9.9,Y,Y,3,3,5,Health & Fitness,Health & Fitness; Medical,harm-reduction,12+,13.0,Y,quit gambling
6740839224,Gamble Quit,Gavin Richards,com.mycompany.gamblequit,https://apps.apple.com/us/app/gamble-quit/id6740839224?uo=4,2025-02-06,2025-02-20,1.01,19.0,N,Y,2,2,5,Health & Fitness,Health & Fitness,harm-reduction,4+,14.0.0,Y,quit gambling
6757939751,QuitBet - Quit Gambling Now,Matvei Arefev,Inkly.QuitGambling,https://apps.apple.com/us/app/quitbet-quit-gambling-now/id6757939751?uo=4,2026-01-27,2026-03-25,1.5,5.9,Y,N,17,17,4.35294,Lifestyle,Lifestyle; Health & Fitness,harm-reduction,17+,18.0,Y,quit gambling
1611983085,Grey: Inclusive Global Banking,Grey Incorporated,co.grey.mobile.ios,https://apps.apple.com/us/app/grey-inclusive-global-banking/id1611983085?uo=4,2022-07-12,2026-09-19,4.0.0,0.0,N,N,5767,5767,4.5906,Finance,Finance,not-gambling,17+,17.6,N,quit gambling
6476784774,Gambling Block Quit Bet Casino,Moxyz Studio,com.moxyzstudio.gamblingblock,https://apps.apple.com/us/app/gambling-block-quit-bet-casino/id6476784774?uo=4,2024-02-21,2026-09-14,2.6.1,0.2,N,N,501,501,4.84631,Utilities,Utilities,harm-reduction,17+,16.0,Y,quit gambling; gambling blocker
6751584830,Quit Gambling: Stop addiction,Vukasin Zurzevic,com.anonymous.no-gambling-app,https://apps.apple.com/us/app/quit-gambling-stop-addiction/id6751584830?uo=4,2025-10-04,2026-08-28,1.2.8,0.8,Y,N,27,27,4.88889,Health & Fitness,Health & Fitness; Medical,harm-reduction,17+,15.1,Y,quit gambling; gambling addiction recovery
1547099435,Sunflower - Quit Any Addiction,"Koby Empire, Inc",com.kobyconrad.stop-craving-production,https://apps.apple.com/us/app/sunflower-quit-any-addiction/id1547099435?uo=4,2021-01-06,2026-09-17,1.5.145,0.1,N,N,5971,5971,4.84492,Health & Fitness,Health & Fitness; Productivity,not-gambling,17+,15.1,N,quit gambling; gambling addiction recovery
6742050059,QUITBET: Quit Gambling・Casino,Mone Apps LLC,ai.hazret.quitbet,https://apps.apple.com/us/app/quitbet-quit-gambling-casino/id6742050059?uo=4,2025-03-02,2026-06-26,1.0.7,2.8,N,N,16,16,3,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,4+,15.6,Y,quit gambling
6767299379,Fromzero: Quit gambling,ROBERT ALEXANDRU,app.fromzero.ios,https://apps.apple.com/us/app/fromzero-quit-gambling/id6767299379?uo=4,2026-05-07,2026-05-13,1.1.0,4.3,Y,N,0,0,0,Lifestyle,Lifestyle; Utilities,harm-reduction,4+,15.1,Y,quit gambling
6761732396,BETR OFF - Quit Gambling Now,Davone Barrett,com.byebet.app,https://apps.apple.com/us/app/betr-off-quit-gambling-now/id6761732396?uo=4,2026-07-01,2026-07-30,1.2,1.7,Y,N,3,3,5,Health & Fitness,Health & Fitness; Productivity,harm-reduction,12+,26.0,Y,quit gambling; gambling addiction recovery
6780315777,NOMOR - Quit Gambling,SACHA MATHIEU,com.nomor.sacha,https://apps.apple.com/us/app/nomor-quit-gambling/id6780315777?uo=4,2026-07-24,2026-08-04,1.0.1,1.5,Y,N,0,0,0,Health & Fitness,Health & Fitness,harm-reduction,4+,17.0,Y,quit gambling
6760953577,Quit Gambling: Guardrail,Glen Bentley,com.Nigelware.Guardrail,https://apps.apple.com/us/app/quit-gambling-guardrail/id6760953577?uo=4,2026-04-10,2026-04-10,1.0,5.4,Y,N,2,2,5,Health & Fitness,Health & Fitness; Productivity,harm-reduction,4+,26.1,Y,quit gambling
6476049610,Bye Bet: Quit Gambling Tracker,Micom Tech SRL,com.quitaddictionforever.stopgambling,https://apps.apple.com/us/app/bye-bet-quit-gambling-tracker/id6476049610?uo=4,2024-06-27,2026-04-06,5.1,5.5,N,N,3,3,5,Health & Fitness,Health & Fitness; Sports,harm-reduction,17+,13.0,Y,quit gambling; gambling addiction recovery
6747463148,iFold - Quit Gambling,Ayman Hangalay,ifoldapp.com,https://apps.apple.com/us/app/ifold-quit-gambling/id6747463148?uo=4,2025-07-30,2026-01-28,1.0.3,7.7,N,Y,5,5,4.8,Lifestyle,Lifestyle; Utilities,harm-reduction,17+,14.0.0,Y,quit gambling
6756128282,Betttr: Quit Gambling Recovery,Bettr Bet LLC,com.anonymous.Bettr,https://apps.apple.com/us/app/betttr-quit-gambling-recovery/id6756128282?uo=4,2026-05-08,2026-09-07,2.2.2,0.4,Y,N,15,15,5,Health & Fitness,Health & Fitness; Medical,harm-reduction,9+,18.5,Y,quit gambling; gambling addiction recovery
6742162665,Betless: Quit Gambling,Jeremy Lee,com.mycompany.quitbetting,https://apps.apple.com/us/app/betless-quit-gambling/id6742162665?uo=4,2025-03-15,2025-11-25,3.0.3,9.8,N,Y,2,2,5,Health & Fitness,Health & Fitness; Utilities,harm-reduction,17+,15.1,Y,quit gambling; gambling blocker
1640175423,Quit Gambling - No Bet Samurai,"NAKASHIN, K.K.",com.nakashin.KakeTachinuApp,https://apps.apple.com/us/app/quit-gambling-no-bet-samurai/id1640175423?uo=4,2022-08-18,2025-09-17,1.17,12.1,N,Y,1,1,5,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,12+,13.0,Y,quit gambling
6760858493,Fold Up: Quit Gambling App,Gokturk Ulker,com.mavkaistudio.foldupquitgambling,https://apps.apple.com/us/app/fold-up-quit-gambling-app/id6760858493?uo=4,2026-03-29,2026-04-21,1.0.2,5.0,Y,N,0,0,0,Productivity,Productivity; Finance,harm-reduction,17+,15.1,Y,quit gambling
6785360487,Quit it: Gambling Blocker,Two Palms Software LLC,com.twopalms.quitit,https://apps.apple.com/us/app/quit-it-gambling-blocker/id6785360487?uo=4,2026-07-15,2026-08-18,1.3.0,1.1,Y,N,4,4,5,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,16.4,Y,quit gambling; gambling blocker; gambling addiction recovery
6763489680,ShiftPath: Quit Gambling,Asgar Amrahov,com.shiftpath.app,https://apps.apple.com/us/app/shiftpath-quit-gambling/id6763489680?uo=4,2026-05-07,2026-05-20,1.1.0,4.0,Y,N,0,0,0,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,4+,17.0,Y,quit gambling
6739467914,BetBreak: Quit Gambling,ROBIN FRANKE,com.betbreak.app,https://apps.apple.com/us/app/betbreak-quit-gambling/id6739467914?uo=4,2025-01-09,2026-09-18,1.1.1,0.1,N,N,1,1,5,Lifestyle,Lifestyle,harm-reduction,4+,15.0,Y,quit gambling
6775044786,NEVRR - Quit Gambling,Christopher Lo Verde,app.CashOut,https://apps.apple.com/us/app/nevrr-quit-gambling/id6775044786?uo=4,2026-06-06,2026-09-17,1.4.0,0.1,Y,N,31,31,4.54839,Health & Fitness,Health & Fitness; Education,harm-reduction,12+,18.0,Y,quit gambling; gambling blocker; gambling addiction recovery
6511245184,Casino Block - Quit Gambling,Moxyz Studio,com.moxyzstudio.casinoblock,https://apps.apple.com/us/app/casino-block-quit-gambling/id6511245184?uo=4,2024-07-24,2026-09-17,2.7.0,0.1,N,N,80,80,4.8125,Lifestyle,Lifestyle; Utilities,harm-reduction,17+,17.0,Y,quit gambling; gambling blocker
